,id,name,abrev,color,alt_color,mascot,logos
1739,1000561,Utah Field Artillery,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
778,328,Utah State,USU,#003263,#949ca1,Aggies,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
1740,1000501,Utah State Alumni,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
779,3101,Utah Tech,UT,#000000,,Trailblazers,http://a.espncdn.com/i/teamlogos/ncaa/500/3101.png
781,390,Utica,UTICA,#000000,,Pioneers,http://a.espncdn.com/i/teamlogos/ncaa/500/390.png
798,2678,VMI,VMI,#E52D37,#eec52b,Keydets,http://a.espncdn.com/i/teamlogos/ncaa/500/2678.png
789,2673,Valdosta State,VAL,#000000,,Blazers,http://a.espncdn.com/i/teamlogos/ncaa/500/2673.png
790,628,Valley City State,VAL,#000000,,Vikings,http://a.espncdn.com/i/teamlogos/ncaa/500/628.png
791,2674,Valparaiso,VALP,#794500,,Crusaders,http://a.espncdn.com/i/teamlogos/ncaa/500/2674.png
1741,1000560,Vancouver Barracks,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
792,238,Vanderbilt,VAN,#000000,#231f20,Commodores,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
1742,1000448,Vanderbilt Alumni,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1743,1000505,Vedado A.C.,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1744,1000060,Vermont,,#FFFFFF,,Catamounts,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1745,1000260,Vermont Methodist Seminary,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1746,1000494,Vicksburg A.C.,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1747,1000489,Vigilant A.C.,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
793,222,Villanova,NOVA,#123d7C,#f0f0f0,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/222.png
1748,1000249,Vincennes,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1749,1000091,Vineland,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
794,258,Virginia,UVA,#f84c1e,#ffffff,Cavaliers,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png
1750,1000441,Virginia Boat Club,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
795,2355,Virginia Lynchburg,UVAL,#FFFFFF,,Dragons,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1751,1000487,Virginia Medical,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
796,330,Virginia State,VIR,#000000,,Trojans,http://a.espncdn.com/i/teamlogos/ncaa/500/330.png
797,259,Virginia Tech,VT,#74232D,#c2c1ba,Hokies,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png
1752,1000511,Virginia Tech Alumni,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1753,2676,Virginia Union,VIR,#000000,,Panthers,http://a.espncdn.com/i/teamlogos/ncaa/500/2676.png
1754,1000135,Volunteer A.C.,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
873,455,WV Wesleyan,WVW,#000000,,Bobcats,http://a.espncdn.com/i/teamlogos/ncaa/500/455.png
799,89,Wabash College,WAB,#000000,,Little Giants,http://a.espncdn.com/i/teamlogos/ncaa/500/89.png
1755,1000780,Waco Field,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
800,2681,Wagner,WAG,#00483A,#ffffff,Seahawks,http://a.espncdn.com/i/teamlogos/ncaa/500/2681.png
801,154,Wake Forest,WAKE,#9E7E38,#000000,Demon Deacons,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png
1756,1000665,Wake Forest Freshmen,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
802,3080,Waldorf,WAL,#000000,,Warriors,http://a.espncdn.com/i/teamlogos/ncaa/500/3080.png
803,2682,Walsh,WALSH,#000000,,Cavaliers,http://a.espncdn.com/i/teamlogos/ncaa/500/2682.png
1757,1000222,Walton,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
